INODE,X,Y,RCH_SS_m_per_day
232142,703250,7090250,1.9031069e-05
232143,704750,7090250,2.0072381e-05
232144,706250,7090250,2.027661e-05
232145,707750,7090250,1.996106e-05
232146,709250,7090250,1.5920412e-05
232147,710750,7090250,8.7510844e-06
232148,712250,7090250,1.3944799e-05
232149,713750,7090250,1.7757833e-05
232150,715250,7090250,1.0768455e-05
232151,716750,7090250,8.4027188e-06
232152,719750,7090250,1.4497745e-05
232153,721250,7090250,1.8269899e-05
232165,742250,7090250,6.6570356e-06
232192,782750,7090250,2.3401941e-05
232193,784250,7090250,2.213922e-05
232194,785750,7090250,1.5158784e-05
232195,787250,7090250,1.1558939e-05
232196,788750,7090250,9.8422151e-06
232197,790250,7090250,1.3488902e-05
232198,791750,7090250,1.2913237e-05
232283,670250,7088750,8.5698548e-06
232284,671750,7088750,9.271932e-06
232285,673250,7088750,9.1544598e-06
232307,706250,7088750,1.1962595e-05
232308,707750,7088750,1.1879062e-05
232309,709250,7088750,1.0590959e-05
232310,710750,7088750,8.271556e-06
232316,719750,7088750,9.8460023e-06
232318,722750,7088750,1.0734902e-05
232358,782750,7088750,1.9688287e-05
232474,707750,7087250,7.9127603e-06
232475,709250,7087250,7.8672856e-06
233039,803750,7082750,9.3770796e-06
233377,805250,7079750,1.5363679e-05
233718,806750,7076750,2.1622249e-05
233890,808250,7075250,2.2677934e-05
234061,806750,7073750,2.1806318e-05
234062,808250,7073750,2.3981147e-05
234234,808250,7072250,2.4123845e-05
234235,809750,7072250,1.6928747e-05
234408,809750,7070750,1.885892e-05
234581,809750,7069250,2.0767287e-05
234582,811250,7069250,2.0551486e-05
234756,811250,7067750,1.7257724e-05
234930,811250,7066250,1.4952713e-05
234931,812750,7066250,2.4097373e-05
235105,811250,7064750,1.5102143e-05
235106,812750,7064750,2.4222016e-05
235281,812750,7063250,2.1419946e-05
235282,814250,7063250,2.3106551e-05
235457,812750,7061750,1.2818958e-05
235458,814250,7061750,1.9328561e-05
235459,815750,7061750,2.0419307e-05
235635,814250,7060250,1.6054941e-05
235636,815750,7060250,1.8536535e-05
235637,817250,7060250,1.461122e-05
235814,815750,7058750,1.5573818e-05
235815,817250,7058750,1.8567391e-05
236355,821750,7054250,1.5793265e-05
236536,821750,7052750,1.8253244e-05
236716,820250,7051250,1.1441625e-05
236717,821750,7051250,1.9095933e-05
236898,821750,7049750,1.9484058e-05
236899,823250,7049750,1.8905903e-05
237080,821750,7048250,1.9884103e-05
237261,821750,7046750,1.9765072e-05
237262,823250,7046750,2.3121103e-05
237263,824750,7046750,2.3198061e-05
237444,821750,7045250,1.3419622e-05
237445,823250,7045250,1.7869503e-05
237446,824750,7045250,2.2529975e-05
237629,824750,7043750,2.0556747e-05
237630,826250,7043750,1.4998556e-05
237814,826250,7042250,1.2046653e-05
240667,845750,7019750,1.1628061e-05
240865,847250,7018250,1.1822036e-05
241064,848750,7016750,1.1501474e-05
241264,850250,7015250,1.1693134e-05
241464,850250,7013750,1.4920685e-05
241465,851750,7013750,1.603692e-05
241666,851750,7012250,1.8969715e-05
241867,851750,7010750,1.97961e-05
241868,853250,7010750,1.8082848e-05
241869,854750,7010750,1.4190471e-05
242071,853250,7009250,1.76374e-05
242900,860750,7003250,1.6772288e-05
243110,862250,7001750,1.0342412e-05
243323,866750,7000250,1.3591122e-05
243534,866750,6998750,1.6366703e-05
243535,868250,6998750,2.1878719e-05
243747,868250,6997250,1.6980988e-05
243748,869750,6997250,1.7737148e-05
243961,869750,6995750,1.938992e-05
243962,871250,6995750,2.1589993e-05
244176,871250,6994250,1.8041124e-05
244177,872750,6994250,1.8704302e-05
244393,872750,6992750,2.4007091e-05
244395,880250,6992750,2.3012062e-05
244396,884750,6992750,2.066824e-05
244611,872750,6991250,1.6206597e-05
244612,874250,6991250,1.8074083e-05
244616,880250,6991250,2.4415376e-05
244617,881750,6991250,1.8469569e-05
244618,883250,6991250,1.4689248e-05
244619,884750,6991250,2.2251766e-05
244620,886250,6991250,2.1059344e-05
244836,874250,6989750,1.6993943e-05
244839,878750,6989750,1.7536599e-05
244840,880250,6989750,2.496478e-05
244841,881750,6989750,1.8308991e-05
244842,883250,6989750,1.4866043e-05
244843,884750,6989750,2.2760501e-05
244844,886250,6989750,2.1113339e-05
245061,875750,6988250,1.8104585e-05
245062,877250,6988250,1.9289821e-05
245063,878750,6988250,2.1637676e-05
245064,880250,6988250,2.5112564e-05
245065,881750,6988250,2.1742859e-05
245066,883250,6988250,2.014478e-05
245067,884750,6988250,2.3921893e-05
245286,875750,6986750,1.4618162e-05
245287,877250,6986750,2.2080319e-05
245288,878750,6986750,2.483085e-05
245289,880250,6986750,2.5027541e-05
245290,881750,6986750,2.4613297e-05
245291,883250,6986750,2.4584195e-05
245292,884750,6986750,2.4773524e-05
245293,886250,6986750,1.9793821e-05
245510,874250,6985250,9.3063263e-06
245511,875750,6985250,1.3039246e-05
245512,877250,6985250,2.1983726e-05
245513,878750,6985250,2.4873798e-05
245514,880250,6985250,2.4796314e-05
245515,881750,6985250,2.0498195e-05
245516,883250,6985250,1.9497556e-05
245517,884750,6985250,2.3689616e-05
245738,878750,6983750,2.2291912e-05
245739,880250,6983750,2.177301e-05
245740,881750,6983750,1.630284e-05
245741,883250,6983750,1.5351707e-05
245742,884750,6983750,2.1815609e-05
245962,877250,6982250,1.4321792e-05
246647,887750,6977750,1.123303e-05
249201,901250,6961250,1.2151661e-05
249433,898250,6959750,1.6228336e-05
249434,899750,6959750,1.876601e-05
249435,901250,6959750,1.8877679e-05
249436,902750,6959750,1.6034728e-05
249668,898250,6958250,1.9375895e-05
249669,899750,6958250,2.3841429e-05
249670,901250,6958250,2.4252344e-05
249671,902750,6958250,1.9644813e-05
249904,899750,6956750,2.4344728e-05
249905,901250,6956750,2.4164165e-05
249906,902750,6956750,2.1933414e-05
249907,904250,6956750,1.8688876e-05
250139,898250,6955250,2.0459627e-05
250140,899750,6955250,2.4643623e-05
250141,901250,6955250,2.4205538e-05
250142,902750,6955250,2.285464e-05
250143,904250,6955250,2.0921905e-05
250374,896750,6953750,1.3313966e-05
250375,898250,6953750,2.0743972e-05
250376,899750,6953750,2.4677984e-05
250377,901250,6953750,2.4561055e-05
250378,902750,6953750,2.0238918e-05
250608,893750,6952250,1.9594499e-05
250609,895250,6952250,1.8236415e-05
250610,896750,6952250,1.7061453e-05
250611,898250,6952250,2.2068049e-05
250612,899750,6952250,2.4650812e-05
250613,901250,6952250,2.4609088e-05
250614,902750,6952250,2.0042227e-05
250844,895250,6950750,1.8342123e-05
250845,896750,6950750,2.2786971e-05
250846,898250,6950750,2.4010073e-05
250847,899750,6950750,2.454668e-05
250848,901250,6950750,2.4324218e-05
250849,902750,6950750,2.3012239e-05
250850,904250,6950750,2.0437716e-05
251082,898250,6949250,2.5096786e-05
251083,899750,6949250,2.5275422e-05
251084,901250,6949250,2.4991954e-05
251085,902750,6949250,2.4880461e-05
251086,904250,6949250,2.2935807e-05
251315,893750,6947750,2.3445242e-05
251316,895250,6947750,2.4054423e-05
251317,896750,6947750,2.4462885e-05
251318,898250,6947750,2.5942105e-05
251319,899750,6947750,2.6400878e-05
251320,901250,6947750,2.6183674e-05
251321,902750,6947750,2.5941228e-05
251322,904250,6947750,2.3585661e-05
251550,892250,6946250,1.6438631e-05
251551,893750,6946250,2.3970102e-05
251552,895250,6946250,2.4490759e-05
251553,896750,6946250,2.4822784e-05
251554,898250,6946250,2.6139147e-05
251555,899750,6946250,2.6612995e-05
251556,901250,6946250,2.657215e-05
251557,902750,6946250,2.6341098e-05
251785,892250,6944750,1.6941633e-05
251786,893750,6944750,2.3590919e-05
251787,895250,6944750,2.4224119e-05
251788,896750,6944750,2.4869765e-05
251789,898250,6944750,2.6125297e-05
251790,899750,6944750,2.6647882e-05
251791,901250,6944750,2.6761829e-05
251792,902750,6944750,2.6540594e-05
252020,892250,6943250,1.862524e-05
252021,893750,6943250,1.7507253e-05
252022,895250,6943250,1.7724175e-05
252023,896750,6943250,1.8229051e-05
252024,898250,6943250,1.9263523e-05
252025,899750,6943250,2.2592209e-05
252026,901250,6943250,2.6526044e-05
252027,902750,6943250,2.6452943e-05
252261,901250,6941750,2.6301479e-05
252262,902750,6941750,2.6356e-05
252495,899750,6940250,1.9524026e-05
252496,901250,6940250,2.6320762e-05
252726,895250,6938750,1.4348421e-05
252727,896750,6938750,1.5252274e-05
252728,898250,6938750,1.5682435e-05
252729,899750,6938750,2.0698217e-05
252730,901250,6938750,2.6244681e-05
252960,895250,6937250,1.8541796e-05
252961,896750,6937250,2.1550373e-05
252962,898250,6937250,2.2227576e-05
252963,899750,6937250,2.4001483e-05
252964,901250,6937250,2.587549e-05
253194,895250,6935750,2.0723461e-05
253195,896750,6935750,2.469937e-05
253196,898250,6935750,2.5641457e-05
253197,899750,6935750,2.5729285e-05
253198,901250,6935750,2.5694924e-05
253428,895250,6934250,2.0921379e-05
253429,896750,6934250,2.4587876e-05
253430,898250,6934250,2.5360794e-05
253431,899750,6934250,2.5651976e-05
253432,901250,6934250,2.5788888e-05
253660,892250,6932750,1.6792834e-05
253661,893750,6932750,1.7761866e-05
253662,895250,6932750,2.2155175e-05
253663,896750,6932750,2.4406612e-05
253664,898250,6932750,2.4931998e-05
253665,899750,6932750,2.5279804e-05
253666,901250,6932750,2.5500687e-05
253893,890750,6931250,2.2062088e-05
253894,892250,6931250,2.2754541e-05
253895,893750,6931250,2.294948e-05
253896,895250,6931250,2.3689967e-05
253897,896750,6931250,2.4174507e-05
253898,898250,6931250,2.439697e-05
253899,899750,6931250,2.467886e-05
254126,890750,6929750,2.282817e-05
254127,892250,6929750,2.0491883e-05
254128,893750,6929750,1.943357e-05
254129,895250,6929750,2.2718954e-05
254130,896750,6929750,2.4017259e-05
254131,898250,6929750,2.4257428e-05
254132,899750,6929750,2.4527748e-05
254359,890750,6928250,2.2727017e-05
254360,892250,6928250,1.700674e-05
254361,893750,6928250,1.4720575e-05
254362,895250,6928250,2.1449398e-05
254363,896750,6928250,2.3890339e-05
254364,898250,6928250,2.4253221e-05
254592,892250,6926750,1.4301387e-05
254593,893750,6926750,1.4986582e-05
254594,895250,6926750,2.182227e-05
