ILAY,INODE,ICOL,IROW,X,Y,head_m,cond_m2_per_day
7,273033,3,433,554750,6796250,146.5,0.0047768763
7,273034,4,433,556250,6796250,147.67,0.0013081578
7,273035,5,433,557750,6796250,148.91,0.00036553177
7,273036,6,433,559250,6796250,148.91,0.00016318331
7,273037,7,433,560750,6796250,149.63,0.00012657001
7,273038,8,433,562250,6796250,149.31,0.00015791858
7,273039,9,433,563750,6796250,150.58,0.00027861427
7,273040,10,433,565250,6796250,152.36,0.00054836318
7,273041,11,433,566750,6796250,151.5,0.00090504101
7,273042,12,433,568250,6796250,152.66,0.0011138269
7,273043,13,433,569750,6796250,151.75,0.0011398994
7,273044,14,433,571250,6796250,149.67,0.0012013599
7,273045,15,433,572750,6796250,150.29,0.0015871485
7,273046,16,433,574250,6796250,149.51,0.0027843798
7,273047,17,433,575750,6796250,150.67,0.0055323756
7,273048,18,433,577250,6796250,152.3,0.0095192151
7,273049,19,433,578750,6796250,148.79,0.011655501
7,273050,20,433,580250,6796250,154.03,0.0095043526
7,273051,21,433,581750,6796250,152.93,0.0054825415
7,273052,22,433,583250,6796250,152.69,0.0027237967
7,273053,23,433,584750,6796250,152.85,0.0015137647
7,273054,24,433,586250,6796250,157.82,0.0010990524
7,273055,25,433,587750,6796250,150.99,0.0010146713
7,273056,26,433,589250,6796250,152.61,0.001048032
7,273057,27,433,590750,6796250,152.67,0.0010715561
7,273058,28,433,592250,6796250,157.87,0.0010287009
7,273059,29,433,593750,6796250,154.34,0.00095314603
7,273060,30,433,595250,6796250,153.56,0.00090168715
7,273061,31,433,596750,6796250,154.22,0.00088908034
7,273062,32,433,598250,6796250,155.25,0.00088765834
7,273063,33,433,599750,6796250,154.67,0.00085522745
7,273064,34,433,601250,6796250,154.48,0.00077650142
7,273065,35,433,602750,6796250,155.15,0.00068221437
7,273066,36,433,604250,6796250,154.69,0.00061374656
7,273067,37,433,605750,6796250,152.19,0.00059019547
7,273068,38,433,607250,6796250,154.12,0.00061228685
7,273069,39,433,608750,6796250,154.38,0.00067211704
7,273070,40,433,610250,6796250,155.17,0.00075207623
7,273071,41,433,611750,6796250,157.201,0.00082434855
7,273072,42,433,613250,6796250,163.461,0.00086528074
7,273073,43,433,614750,6796250,171.489,0.00087430479
7,273074,44,433,616250,6796250,169.309,0.0008781061
7,273075,45,433,617750,6796250,157.311,0.00092309297
7,273076,46,433,619250,6796250,158.06,0.0010648024
7,273077,47,433,620750,6796250,158.71,0.0013440294
7,273078,48,433,622250,6796250,158.1,0.0017109911
7,273079,49,433,623750,6796250,161.359,0.001915534
7,273080,50,433,625250,6796250,158.16,0.0016466165
7,273081,51,433,626750,6796250,157.37,0.0010225779
7,273082,52,433,628250,6796250,157.08,0.00050255708
7,273083,53,433,629750,6796250,157.4,0.00024807005
7,273084,54,433,631250,6796250,156.82,0.0001560214
7,273085,55,433,632750,6796250,156.56,0.00013553016
7,273086,56,433,634250,6796250,157.43,0.00014773522
7,273087,57,433,635750,6796250,157.87,0.00016749371
7,273088,58,433,637250,6796250,159.02,0.00016807109
7,273089,59,433,638750,6796250,160.111,0.00014507693
7,273090,60,433,640250,6796250,162.759,0.00012056463
7,273091,61,433,641750,6796250,162.37,0.00011120671
7,273092,62,433,643250,6796250,162.35,0.00012008877
7,273093,63,433,644750,6796250,163.059,0.00014046694
7,273094,64,433,646250,6796250,162.111,0.00015161726
7,273095,65,433,647750,6796250,160.552,0.00013553833
7,273096,66,433,649250,6796250,162.47,0.0001071595
7,273097,67,433,650750,6796250,162.05,9.3476403e-05
7,273098,68,433,652250,6796250,160.541,0.00011502694
7,273099,69,433,653750,6796250,162.44,0.00022457383
7,273100,70,433,655250,6796250,164.399,0.00061096707
7,273101,71,433,656750,6796250,161.282,0.0016355599
7,273102,72,433,658250,6796250,161.83,0.0030853458
7,273103,73,433,659750,6796250,160.56,0.0037227229
7,273104,74,433,661250,6796250,161.27,0.0033466155
7,273105,75,433,662750,6796250,160.72,0.0029478437
7,273106,76,433,664250,6796250,160.55,0.0032061101
7,273107,77,433,665750,6796250,161.09,0.0044737093
7,273108,78,433,667250,6796250,162.27,0.0066716073
7,273109,79,433,668750,6796250,162.042,0.0080607878
7,273110,80,433,670250,6796250,162.621,0.0063219203
7,273111,81,433,671750,6796250,168.66,0.0030157444
7,273112,82,433,673250,6796250,174.188,0.0010253021
7,273113,83,433,674750,6796250,170.22,0.00035035177
7,273114,84,433,676250,6796250,164.232,0.00016840058
7,273115,85,433,677750,6796250,161.36,0.00013222227
7,273116,86,433,679250,6796250,163.902,0.00016152556
7,273117,87,433,680750,6796250,169.857,0.00025872307
7,273118,88,433,682250,6796250,169.179,0.00043561179
7,273119,89,433,683750,6796250,170.61,0.00064203471
7,273120,90,433,685250,6796250,164.933,0.00077764803
7,273121,91,433,686750,6796250,160.221,0.00081344316
7,273122,92,433,688250,6796250,160.987,0.00079610078
7,273123,93,433,689750,6796250,160.69,0.00075926003
7,273124,94,433,691250,6796250,162.089,0.0006996564
7,273125,95,433,692750,6796250,163.766,0.00061532014
7,273126,96,433,694250,6796250,161.359,0.0005348806
7,273127,97,433,695750,6796250,161.558,0.00049986737
7,273128,98,433,697250,6796250,161.649,0.00054739206
7,273129,99,433,698750,6796250,163.498,0.00071944186
7,273130,100,433,700250,6796250,164.04,0.0010455795
7,273131,101,433,701750,6796250,164.059,0.0014438385
7,273132,102,433,703250,6796250,163.8,0.0017055312
7,273133,103,433,704750,6796250,164.019,0.0017612091
7,273134,104,433,706250,6796250,163.222,0.0017859974
7,273135,105,433,707750,6796250,164.289,0.0019907886
7,273136,106,433,709250,6796250,164.022,0.0024857722
7,273137,107,433,710750,6796250,165.47,0.0031767604
7,273138,108,433,712250,6796250,165.88,0.0037144989
7,273139,109,433,713750,6796250,166.029,0.003864829
7,273140,110,433,715250,6796250,165.679,0.0038543959
7,273141,111,433,716750,6796250,165.701,0.0041101646
7,273142,112,433,718250,6796250,166.939,0.0049236985
7,273143,113,433,719750,6796250,167.349,0.0062240736
7,273144,114,433,721250,6796250,167.17,0.0073750502
7,273145,115,433,722750,6796250,165.647,0.0077409879
7,273146,116,433,724250,6796250,168.5,0.0076966576
7,273147,117,433,725750,6796250,169.149,0.0084645873
7,273148,118,433,727250,6796250,169.789,0.011719422
7,273149,119,433,728750,6796250,167.445,0.019837671
7,273150,120,433,730250,6796250,171.526,0.033146029
7,273151,121,433,731750,6796250,170.781,0.04141799
7,273152,122,433,733250,6796250,171.172,0.031865119
7,273153,123,433,734750,6796250,172.02,0.014925589
