,ICOL,IROW,ILAY,INODE,IBOUND,NTOP,NBOT,X,Y,THICKNESS,OUTCROP,Depth,kx,SS,rch
230577,34,217,7,230578,1,492.0759,482.7685,601250,7120250,9.307399999999973,Y,4.653700000000015,0.2753211,-0.021985425,
230578,35,217,7,230579,1,498.8222,486.8422,602750,7120250,11.980000000000018,Y,5.990000000000009,0.2203655,-0.021985425,
230579,36,217,7,230580,1,507.0035,483.6087,604250,7120250,23.394799999999975,N,15.140099999999961,0.1799779,1.33e-05,
230580,37,217,7,230581,1,507.8195,484.5776,605750,7120250,23.241899999999987,N,44.13534999999996,0.1504243,1.33e-05,
230581,38,217,7,230582,1,511.2822,487.3619,607250,7120250,23.920299999999997,N,136.74405000000002,0.1289774,1.33e-05,
230582,39,217,7,230583,1,515.9236,490.4071,608750,7120250,25.51649999999995,N,71.53494999999998,0.1136749,1.33e-05,
230583,40,217,7,230584,1,519.3684,492.0477,610250,7120250,27.32069999999993,N,82.77015000000006,0.1031282,1.33e-05,
230584,41,217,7,230585,1,521.2695,492.3588,611750,7120250,28.91070000000002,N,72.89095000000003,0.096377725,1.33e-05,
230585,42,217,7,230586,1,523.7966,491.8966,613250,7120250,31.900000000000034,N,64.06029999999998,0.092787024,1.33e-05,
230586,43,217,7,230587,1,527.8594,491.4799,614750,7120250,36.379500000000064,N,97.24504999999999,0.091966568,1.33e-05,
230587,44,217,7,230588,1,532.9207,492.2914,616250,7120250,40.6293,N,97.20164999999997,0.093720755,1.33e-05,
230588,45,217,7,230589,1,539.3538,495.3662,617750,7120250,43.987599999999986,N,73.49040000000002,0.098010922,1.33e-05,
230589,46,217,7,230590,1,549.4999,501.1619,619250,7120250,48.33800000000002,N,60.855899999999906,0.1049291,1.33e-05,
230590,47,217,7,230591,1,566.6929,509.5746,620750,7120250,57.11830000000003,N,55.431850000000054,0.114678,1.33e-05,
230591,48,217,7,230592,1,589.4777,521.4141,622250,7120250,68.06360000000006,N,64.57960000000003,0.1275518,1.33e-05,
230592,49,217,7,230593,1,605.6459,536.5779,623750,7120250,69.06799999999998,N,94.14340000000004,0.1439151,1.33e-05,
230593,50,217,7,230594,1,604.8179,552.0376,625250,7120250,52.78030000000001,N,87.78784999999993,0.1641745,1.33e-05,
230594,51,217,7,230595,1,608.4182,559.8089,626750,7120250,48.60929999999996,Y,24.304649999999924,0.1887406,-0.021985425,
230595,1,218,7,230596,1,566.2046,554.9191,551750,7118750,11.28550000000007,Y,5.642749999999978,5.977233,-0.021985425,
