INODE,X,Y,ILAY,head_predev_m
230817,629750,7111250,7,446.1629
230818,631250,7111250,7,440.8346
230819,551750,7109750,7,412.0352
230820,553250,7109750,7,411.9385
230821,554750,7109750,7,411.8019
230822,556250,7109750,7,411.4136
230823,557750,7109750,7,410.8727
230824,559250,7109750,7,410.1247
230825,560750,7109750,7,409.1258
230826,562250,7109750,7,406.6166
230827,563750,7109750,7,404.1453
230828,565250,7109750,7,402.4858
230829,566750,7109750,7,401.4609
230830,568250,7109750,7,400.6452
230831,569750,7109750,7,399.9078
230832,571250,7109750,7,399.1959
230833,572750,7109750,7,398.4925
230834,574250,7109750,7,397.7733
230835,575750,7109750,7,396.9843
230836,577250,7109750,7,396.1123
230837,578750,7109750,7,395.2513
230838,580250,7109750,7,394.2978
230839,581750,7109750,7,393.2059
230840,583250,7109750,7,392.784
230841,592250,7109750,7,386.3821
230842,593750,7109750,7,389.6629
230843,595250,7109750,7,397.0844
230844,596750,7109750,7,402.0538
230845,598250,7109750,7,405.1482
230846,599750,7109750,7,410.9477
230847,601250,7109750,7,417.9537
230848,602750,7109750,7,424.3802
230849,604250,7109750,7,430.017
230850,605750,7109750,7,434.9027
230851,607250,7109750,7,439.2384
230852,608750,7109750,7,445.1315
230853,610250,7109750,7,450.6975
230854,611750,7109750,7,455.6967
230855,613250,7109750,7,459.8415
230856,614750,7109750,7,464.1176
230857,616250,7109750,7,467.3333
230858,617750,7109750,7,468.9719
230859,619250,7109750,7,468.6384
230860,620750,7109750,7,466.3428
230861,622250,7109750,7,462.3729
230862,623750,7109750,7,457.1076
230863,625250,7109750,7,450.0637
230864,626750,7109750,7,442.7026
230865,628250,7109750,7,435.5128
230866,629750,7109750,7,427.9834
230867,631250,7109750,7,418.287
230868,632750,7109750,7,407.5631
230869,551750,7108250,7,410.5991
230870,553250,7108250,7,410.484
230871,554750,7108250,7,410.2545
230872,556250,7108250,7,409.8502
230873,557750,7108250,7,409.2282
230874,559250,7108250,7,408.4547
230875,560750,7108250,7,407.3996
230876,562250,7108250,7,405.7455
230877,563750,7108250,7,403.9969
230878,565250,7108250,7,402.4126
230879,566750,7108250,7,401.2761
230880,568250,7108250,7,400.3913
230881,569750,7108250,7,399.593
230882,571250,7108250,7,398.8404
230883,572750,7108250,7,398.0835
230884,574250,7108250,7,397.2913
230885,575750,7108250,7,396.4336
230886,577250,7108250,7,395.5068
230887,578750,7108250,7,394.4948
230888,580250,7108250,7,393.2623
230889,581750,7108250,7,391.6851
230890,583250,7108250,7,389.5433
230891,584750,7108250,7,386.1549
230892,586250,7108250,7,378.0012
230893,587750,7108250,7,374.2602
230894,589250,7108250,7,372.9899
230895,590750,7108250,7,372.6135
230896,592250,7108250,7,380.2719
230897,593750,7108250,7,383.6446
230898,595250,7108250,7,388.2434
230899,596750,7108250,7,393.5722
230900,598250,7108250,7,398.6364
230901,599750,7108250,7,404.319
230902,601250,7108250,7,410.4227
230903,602750,7108250,7,416.4184
230904,604250,7108250,7,422.0367
230905,605750,7108250,7,426.5592
230906,607250,7108250,7,427.7159
230907,608750,7108250,7,436.9863
230908,610250,7108250,7,443.1535
230909,611750,7108250,7,447.7328
230910,613250,7108250,7,449.3826
230911,614750,7108250,7,455.6605
230912,616250,7108250,7,458.5687
230913,617750,7108250,7,459.33
230914,619250,7108250,7,457.9671
230915,620750,7108250,7,454.6771
230916,622250,7108250,7,449.6637
230917,623750,7108250,7,443.5185
230918,625250,7108250,7,435.9342
230919,626750,7108250,7,427.9461
230920,628250,7108250,7,420.32
230921,629750,7108250,7,412.5229
230922,631250,7108250,7,404.2793
230923,632750,7108250,7,396.8909
230924,634250,7108250,7,390.6589
230925,551750,7106750,7,409.3568
230926,553250,7106750,7,409.2369
230927,554750,7106750,7,408.9849
230928,556250,7106750,7,408.5798
230929,557750,7106750,7,408.0199
230930,559250,7106750,7,407.2951
230931,560750,7106750,7,406.3609
230932,562250,7106750,7,405.1694
230933,563750,7106750,7,403.7824
230934,565250,7106750,7,402.3518
230935,566750,7106750,7,401.1577
230936,568250,7106750,7,400.1995
230937,569750,7106750,7,399.3403
230938,571250,7106750,7,398.5253
230939,572750,7106750,7,397.709
230940,574250,7106750,7,396.8627
230941,575750,7106750,7,395.9519
230942,577250,7106750,7,394.9439
230943,578750,7106750,7,393.7824
230944,580250,7106750,7,392.3588
230945,581750,7106750,7,390.5106
230946,583250,7106750,7,388.1695
230947,584750,7106750,7,384.9434
230948,586250,7106750,7,379.8659
230949,587750,7106750,7,365.4323
230950,589250,7106750,7,365.114
230951,590750,7106750,7,370.0586
230952,592250,7106750,7,375.0388
230953,593750,7106750,7,379.1441
230954,595250,7106750,7,383.8207
230955,596750,7106750,7,389.0102
230956,598250,7106750,7,394.0629
230957,599750,7106750,7,399.2531
230958,601250,7106750,7,404.7385
230959,602750,7106750,7,410.2437
230960,604250,7106750,7,415.5992
230961,605750,7106750,7,420.5326
230962,607250,7106750,7,424.881
230963,608750,7106750,7,430.7848
230964,610250,7106750,7,436.3356
230965,611750,7106750,7,441.0509
230966,613250,7106750,7,444.7012
230967,614750,7106750,7,447.971
230968,616250,7106750,7,449.7192
230969,617750,7106750,7,449.4619
230970,619250,7106750,7,447.1065
230971,620750,7106750,7,442.9661
230972,622250,7106750,7,437.084
230973,623750,7106750,7,430.0575
230974,625250,7106750,7,422.2733
230975,626750,7106750,7,414.6338
230976,628250,7106750,7,407.4171
230977,629750,7106750,7,400.4515
230978,631250,7106750,7,393.9848
230979,632750,7106750,7,388.7997
230980,634250,7106750,7,384.6982
230981,635750,7106750,7,382.0284
230982,764750,7106750,7,353.2412
