RN,YEAR,PROP_ID,GIS_LAT,GIS_LNG,IN_CMA,IN_AOI,BORE_TYPE,BORE_STATUS,OGIA_P3,FM_GROUP,MainAq,FORMATION,LAYER,REL_T,SD_Prop_Dry,SD_Prop_Av,SD_Prop_Wet,SI_Prop_Dry,SI_Prop_Av,SI_Prop_Wet,SD_Bore_Dry,SD_Bore_Av,SD_Bore_Wet,SI_Bore_Dry,SI_Bore_Av,SI_Bore_Wet,BoreYld,YldAuthPCT,SHARE_ENT_EVEN,SHARE_ENT_YLD,AUTH_REFS,NOM_ENT,NSD_Bore_Wet,NSD_Bore_Av,NSD_Bore_Dry,GMA,Limitation,WU_SOURCE,Metered_Bore,Metered_Prop,Metered_Source,ClimateZone,Climate,SD_Prop,SI_Prop,NSD_Bore,SD_Bore,SI_Bore,SI_TYPE,WU_CLASS,ML_Bore,ML_Aquifer
143025,2024,41186917,-27.0069444,151.8936111,,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,5.317475146,3.604175748,1.26555659,,,,2.658737573,1.802087874,0.632778295,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,3.604175748,,,1.802087874,0,,S&D,1.802087874,1.802087874
106340,2024,41199200,-27.58977549,152.084992,,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,1.5,1.35,1.2,,,,1.5,1.35,1.2,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,1.35,,,1.35,0,,S&D,1.35,1.35
47767,2024,41207154,-25.6316,149.62396,Y,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,13.12413666,6.04578219,1.2,,,,2.624827332,1.209156438,0.24,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,6.04578219,,,1.209156438,0,,S&D,1.209156438,1.209156438
173765,2024,41207913,-27.17558089,151.9781324,Y,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,1.673955738,1.523955738,1.373955738,,,,0.836977869,0.761977869,0.686977869,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,1.523955738,,,0.761977869,0,,S&D,0.761977869,0.761977869
22928,2024,41217145,-27.76212641,149.0826824,Y,Y,WS,EX,Stock_Domestic,Surat_Basin,0,Precipice Sandstone,24,0.012447502,121.9251097,63.45742625,13.83482996,,,,6.773617203,3.525412569,0.768601664,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,63.45742625,,,3.525412569,0,,S&D,3.525412569,0.043882581
22941,2024,41217145,-27.73032923,149.014777,Y,Y,WS,EX,Stock_Domestic,Surat_Basin,0,Precipice Sandstone,24,0.018264494,121.9251097,63.45742625,13.83482996,,,,6.773617203,3.525412569,0.768601664,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,63.45742625,,,3.525412569,0,,S&D,3.525412569,0.064389877
23655,2024,41217145,-27.70768717,149.0706303,Y,Y,WS,EX,Stock_Domestic,Surat_Basin,0,Precipice Sandstone,24,0.011121264,121.9251097,63.45742625,13.83482996,,,,6.773617203,3.525412569,0.768601664,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,63.45742625,,,3.525412569,0,,S&D,3.525412569,0.039207042
11558,2024,41218177,-25.59537551,150.0137485,Y,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,19.58967049,7.040445296,1.2,,,,1.958967049,0.70404453,0.12,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,7.040445296,,,0.70404453,0,,S&D,0.70404453,0.70404453
17796,2024,41218177,-25.58798799,150.0482221,Y,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,19.58967049,7.040445296,1.2,,,,1.958967049,0.70404453,0.12,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,7.040445296,,,0.70404453,0,,S&D,0.70404453,0.70404453
22152,2024,41223829,-26.94438,149.221969,Y,Y,PWS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,0.384638866,5.976699553,4.529514385,1.2,,,,5.976699553,4.529514385,1.2,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,4.529514385,,,4.529514385,0,,S&D,4.529514385,1.742227278
123520,2024,41226755,-26.18488341,149.4160066,Y,Y,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,0.999687268,7.469445104,1.847453759,1.2,,,,1.867361276,0.46186344,0.3,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,1.847453759,,,0.46186344,0,,S&D,0.46186344,0.461719
123551,2024,41226755,-26.13738728,149.393395,Y,Y,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,7.469445104,1.847453759,1.2,,,,1.867361276,0.46186344,0.3,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,1.847453759,,,0.46186344,0,,S&D,0.46186344,0.46186344
55254,2024,41229066,-27.18047966,151.9523422,Y,,PWS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,2.056234989,1.47092065,1.2,,,,2.056234989,1.47092065,1.2,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,1.47092065,,,1.47092065,0,,S&D,1.47092065,1.47092065
147224,2024,41229200,-27.3922565,151.923561,Y,,WS,EX,Town Water Supply,Surat_Basin,1,Precipice Sandstone,24,0.997822683,1.547040089,1.397040089,1.247040089,,,,0,0,0,0,0,0,662.256,26.38286073,400,527.6572146,615882,2000,316.5943288,369.3600502,527.6572146,,,Entitlement,,,,Zone5,Wet,1.397040089,,316.5943288,0,0,,Ent,316.5943288,315.9050027
123674,2024,41232256,-26.02861111,149.6616667,Y,Y,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,0.998691982,21.90191438,11.6984917,1.2,,,,1.152732336,0.615710089,0.063157895,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,11.6984917,,,0.615710089,0,,S&D,0.615710089,0.61490473
208750,2024,41238223,-27.523025,148.816759,Y,,WS,EX,Stock_Domestic,Surat_Basin,0,Precipice Sandstone,24,0.001831526,50.59882069,28.5118647,1.2,,,,12.64970517,7.127966175,0.3,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,28.5118647,,,7.127966175,0,,S&D,7.127966175,0.013055057
5694,2024,41243003,-26.25537465,148.943898,Y,Y,PWS,CF,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,0.869989135,31.33581182,13.87014966,1.2,,,,3.133581182,1.387014966,0.12,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,13.87014966,,,1.387014966,0,,S&D,1.387014966,1.206687951
172930,2024,41259092,-27.34213635,152.016896,,,PWS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,1.528101441,1.378101441,1.228101441,,,,1.528101441,1.378101441,1.228101441,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,1.378101441,,,1.378101441,0,,S&D,1.378101441,1.378101441
197233,2024,41260674,-27.22216291,151.9756779,Y,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,1.645589896,1.495589896,1.345589896,,,,1.645589896,1.495589896,1.345589896,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,1.495589896,,,1.495589896,0,,S&D,1.495589896,1.495589896
74506,2024,41260891,-25.6517987,151.2123443,,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,1.5,1.35,1.2,815.493366,593.8981418,370.388795,0.3,0.27,0.24,0,0,0,,,,,,,,,,,,WMS,Y,Y,WMS,Zone5,Wet,1.35,593.8981418,,0.27,0,Pigs,Metered Bore,27.563,27.563
89561,2024,41261448,-25.43572907,150.0685703,Y,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,13.08382191,12.93382191,12.78382191,,,,2.616764383,2.586764383,2.556764383,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,12.93382191,,,2.586764383,0,,S&D,2.586764383,2.586764383
89627,2024,41261448,-25.43772216,150.0964449,Y,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,13.08382191,12.93382191,12.78382191,,,,2.616764383,2.586764383,2.556764383,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,12.93382191,,,2.586764383,0,,S&D,2.586764383,2.586764383
128911,2024,41261448,-25.46479619,150.1143496,Y,,PWS,AD,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,13.08382191,12.93382191,12.78382191,,,,2.616764383,2.586764383,2.556764383,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,12.93382191,,,2.586764383,0,,S&D,2.586764383,2.586764383
170228,2024,41261448,-25.4648262,150.1140408,Y,,PWS,AD,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,0.996277283,13.08382191,12.93382191,12.78382191,,,,2.616764383,2.586764383,2.556764383,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,12.93382191,,,2.586764383,0,,S&D,2.586764383,2.577134592
170229,2024,41261448,-25.46525694,150.1143784,Y,,PWS,AD,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,0.988820056,13.08382191,12.93382191,12.78382191,,,,2.616764383,2.586764383,2.556764383,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,12.93382191,,,2.586764383,0,,S&D,2.586764383,2.557844502
