INODE,X,Y,ILAY,head_predev_m
1030539,568250,7240250,24,694.008
1030540,569750,7240250,24,694.4467
1030541,571250,7240250,24,694.8381
1030542,577250,7240250,24,608.0684
1030543,578750,7240250,24,608.3169
1030544,580250,7240250,24,608.4824
1030545,581750,7240250,24,608.8598
1030546,583250,7240250,24,609.586
1030547,584750,7240250,24,610.4732
1030548,586250,7240250,24,612.0721
1030549,587750,7240250,24,613.6632
1030550,589250,7240250,24,615.569
1030551,590750,7240250,24,617.0796
1030552,592250,7240250,24,618.0451
1030553,593750,7240250,24,619.1381
1030554,595250,7240250,24,619.603
1030555,596750,7240250,24,619.8215
1030556,598250,7240250,24,619.5728
1030557,599750,7240250,24,619.5346
1030558,601250,7240250,24,619.747
1030559,602750,7240250,24,620.3159
1030560,604250,7240250,24,621.1097
1030561,605750,7240250,24,622.3691
1030562,607250,7240250,24,624.2376
1030563,608750,7240250,24,626.3866
1030564,610250,7240250,24,629.4741
1030565,611750,7240250,24,638.9463
1030566,620750,7240250,24,680.3369
1030567,739250,7240250,24,306.6536
1030568,740750,7240250,24,306.6176
1030569,742250,7240250,24,306.691
1030570,743750,7240250,24,307.3532
1030571,745250,7240250,24,309.7232
1030572,746750,7240250,24,312.6055
1030573,748250,7240250,24,315.071
1030574,749750,7240250,24,316.5712
1030575,751250,7240250,24,317.0445
1030576,752750,7240250,24,316.7563
1030577,754250,7240250,24,315.9617
1030578,755750,7240250,24,314.841
1030579,757250,7240250,24,313.398
1030580,758750,7240250,24,311.5282
1030581,760250,7240250,24,309.2307
1030582,763250,7240250,24,280.1208
1030583,764750,7240250,24,266.5166
1030584,553250,7238750,24,686.7532
1030585,554750,7238750,24,687.3893
1030586,556250,7238750,24,688.461
1030587,557750,7238750,24,689.5751
1030588,559250,7238750,24,690.7192
1030589,560750,7238750,24,691.6642
1030590,562250,7238750,24,692.4515
1030591,563750,7238750,24,693.1901
1030592,565250,7238750,24,693.4087
1030593,566750,7238750,24,693.5079
1030594,572750,7238750,24,609.3576
1030595,574250,7238750,24,608.2614
1030596,575750,7238750,24,607.8412
1030597,577250,7238750,24,607.8045
1030598,578750,7238750,24,607.9463
1030599,580250,7238750,24,608.1822
1030600,581750,7238750,24,608.5638
1030601,583250,7238750,24,609.1316
1030602,584750,7238750,24,609.8531
1030603,586250,7238750,24,610.7297
1030604,587750,7238750,24,612.0679
1030605,589250,7238750,24,613.4745
1030606,590750,7238750,24,615.4855
1030607,592250,7238750,24,616.3651
1030608,593750,7238750,24,616.9128
1030609,595250,7238750,24,616.6427
1030610,596750,7238750,24,616.6352
1030611,598250,7238750,24,616.4629
1030612,599750,7238750,24,616.4928
1030613,601250,7238750,24,616.8184
1030614,602750,7238750,24,617.4046
1030615,604250,7238750,24,618.141
1030616,605750,7238750,24,619.1481
1030617,607250,7238750,24,620.4873
1030618,608750,7238750,24,622.1942
1030619,610250,7238750,24,624.6386
1030620,611750,7238750,24,625.801
1030621,613250,7238750,24,627.3874
1030622,614750,7238750,24,632.6511
1030623,622250,7238750,24,596.756
1030624,623750,7238750,24,596.8175
1030625,740750,7238750,24,306.7553
1030626,742250,7238750,24,306.9005
1030627,743750,7238750,24,307.283
1030628,745250,7238750,24,311.2067
1030629,746750,7238750,24,314.819
1030630,748250,7238750,24,317.2348
1030631,749750,7238750,24,318.4072
1030632,751250,7238750,24,318.6393
1030633,752750,7238750,24,318.1966
1030634,754250,7238750,24,317.2777
1030635,755750,7238750,24,316.0028
1030636,757250,7238750,24,314.2135
1030637,758750,7238750,24,311.3632
1030638,760250,7238750,24,305.5872
1030639,761750,7238750,24,289.5432
1030640,763250,7238750,24,275.4437
1030641,764750,7238750,24,254.1866
1030642,766250,7238750,24,263.8724
1030643,553250,7237250,24,686.4489
1030644,554750,7237250,24,686.9344
1030645,556250,7237250,24,687.7602
1030646,557750,7237250,24,689.2453
1030647,559250,7237250,24,690.4425
1030648,560750,7237250,24,691.1016
1030649,563750,7237250,24,694.3105
1030650,565250,7237250,24,693.9137
1030651,566750,7237250,24,693.6861
1030652,572750,7237250,24,608.5323
1030653,574250,7237250,24,607.8187
1030654,575750,7237250,24,607.4973
1030655,577250,7237250,24,607.4694
1030656,578750,7237250,24,607.5444
1030657,580250,7237250,24,607.7705
1030658,581750,7237250,24,608.1165
1030659,583250,7237250,24,608.5815
1030660,584750,7237250,24,609.1499
1030661,586250,7237250,24,609.7519
1030662,587750,7237250,24,610.6124
1030663,589250,7237250,24,611.4196
1030664,590750,7237250,24,613.2694
1030665,592250,7237250,24,614.0938
1030666,593750,7237250,24,613.9701
1030667,595250,7237250,24,613.4955
1030668,596750,7237250,24,613.3624
1030669,598250,7237250,24,613.3073
1030670,599750,7237250,24,613.4189
1030671,601250,7237250,24,613.7707
1030672,602750,7237250,24,614.3684
1030673,604250,7237250,24,615.2106
1030674,605750,7237250,24,616.1181
1030675,607250,7237250,24,617.09
1030676,608750,7237250,24,618.2841
1030677,610250,7237250,24,620.0757
1030678,611750,7237250,24,620.6467
1030679,613250,7237250,24,620.6321
1030680,614750,7237250,24,620.1088
1030681,616250,7237250,24,618.3617
1030682,617750,7237250,24,615.5885
1030683,619250,7237250,24,610.1626
1030684,620750,7237250,24,601.3776
1030685,622250,7237250,24,596.5596
1030686,731750,7237250,24,310.2367
1030687,733250,7237250,24,327.3415
1030688,734750,7237250,24,335.7332
1030689,736250,7237250,24,338.0951
1030690,743750,7237250,24,303.6645
1030691,745250,7237250,24,314.3177
1030692,746750,7237250,24,319.0022
1030693,748250,7237250,24,320.8222
1030694,749750,7237250,24,321.2087
1030695,751250,7237250,24,320.8553
1030696,752750,7237250,24,319.9873
1030697,754250,7237250,24,318.7838
1030698,755750,7237250,24,317.2878
1030699,757250,7237250,24,315.3204
1030700,758750,7237250,24,312.4028
1030701,760250,7237250,24,307.4762
1030702,761750,7237250,24,298.4476
1030703,763250,7237250,24,288.5656
1030704,764750,7237250,24,277.9284
1030705,766250,7237250,24,275.9673
1030706,767750,7237250,24,271.3571
1030707,554750,7235750,24,686.2614
1030708,556250,7235750,24,685.8498
1030709,559250,7235750,24,690.5994
1030710,560750,7235750,24,690.8575
1030711,563750,7235750,24,695.695
1030712,565250,7235750,24,694.8625
1030713,571250,7235750,24,706.8261
1030714,574250,7235750,24,607.0713
1030715,575750,7235750,24,606.9629
1030716,577250,7235750,24,607.0094
1030717,578750,7235750,24,607.1075
1030718,580250,7235750,24,607.2592
1030719,581750,7235750,24,607.564
1030720,583250,7235750,24,607.8756
1030721,584750,7235750,24,608.2659
1030722,586250,7235750,24,608.6746
1030723,587750,7235750,24,609.1124
1030724,589250,7235750,24,609.5614
1030725,590750,7235750,24,610.0401
1030726,592250,7235750,24,610.8409
1030727,593750,7235750,24,610.4189
1030728,595250,7235750,24,610.5183
1030729,596750,7235750,24,610.4915
1030730,598250,7235750,24,610.5258
1030731,599750,7235750,24,610.6721
1030732,601250,7235750,24,610.9884
1030733,602750,7235750,24,611.5436
1030734,604250,7235750,24,612.3858
1030735,605750,7235750,24,613.1752
1030736,607250,7235750,24,613.8447
1030737,608750,7235750,24,614.5223
1030738,610250,7235750,24,615.1224
1030739,611750,7235750,24,615.1764
1030740,613250,7235750,24,614.6794
1030741,614750,7235750,24,613.7242
1030742,616250,7235750,24,611.5333
1030743,617750,7235750,24,607.5115
1030744,619250,7235750,24,602.553
1030745,620750,7235750,24,596.6291
1030746,622250,7235750,24,592.3157
1030747,623750,7235750,24,589.5754
1030748,731750,7235750,24,315.0602
1030749,733250,7235750,24,334.2025
1030750,734750,7235750,24,341.3143
1030751,736250,7235750,24,345.6393
1030752,737750,7235750,24,349.2848
1030753,739250,7235750,24,352.2562
1030754,740750,7235750,24,353.1307
1030755,745250,7235750,24,326.5263
1030756,746750,7235750,24,326.5587
1030757,748250,7235750,24,326.0313
1030758,749750,7235750,24,324.9887
1030759,751250,7235750,24,323.5929
1030760,752750,7235750,24,322.0634
1030761,754250,7235750,24,320.471
1030762,755750,7235750,24,318.7404
1030763,757250,7235750,24,316.6774
1030764,758750,7235750,24,313.9307
1030765,760250,7235750,24,309.9002
1030766,761750,7235750,24,304.0229
1030767,763250,7235750,24,297.2768
1030768,764750,7235750,24,291.2055
1030769,766250,7235750,24,287.5727
1030770,767750,7235750,24,283.5287
1030771,553250,7234250,24,651.4642
1030772,556250,7234250,24,683.9833
1030773,557750,7234250,24,682.7172
1030774,560750,7234250,24,690.7767
1030775,568250,7234250,24,607.5561
1030776,569750,7234250,24,607.325
1030777,572750,7234250,24,606.6374
1030778,574250,7234250,24,606.226
1030779,575750,7234250,24,606.3563
1030780,577250,7234250,24,606.4826
1030781,578750,7234250,24,606.5731
1030782,580250,7234250,24,606.6999
1030783,581750,7234250,24,606.8371
1030784,583250,7234250,24,607.0459
1030785,584750,7234250,24,607.1424
1030786,586250,7234250,24,607.4166
1030787,587750,7234250,24,607.6877
1030788,589250,7234250,24,607.8678
1030789,590750,7234250,24,607.708
1030790,592250,7234250,24,607.9181
1030791,593750,7234250,24,608.0206
1030792,595250,7234250,24,608.0522
1030793,596750,7234250,24,608.051
1030794,598250,7234250,24,608.0912
1030795,599750,7234250,24,608.2206
1030796,601250,7234250,24,608.4764
1030797,602750,7234250,24,608.9257
1030798,604250,7234250,24,609.5396
1030799,605750,7234250,24,610.1286
1030800,607250,7234250,24,610.5702
1030801,608750,7234250,24,610.8501
1030802,610250,7234250,24,610.9845
1030803,611750,7234250,24,610.5709
1030804,613250,7234250,24,610.3721
1030805,614750,7234250,24,609.7659
