INODE,X,Y,RCH_SS_m_per_day
1030302,757250,7249250,5.3790358e-05
1030303,760250,7249250,5.2625837e-05
1030319,577250,7247750,8.5731503e-05
1030331,617750,7247750,0.00015621565
1030333,748250,7247750,5.9322632e-05
1030334,755750,7247750,6.1402912e-05
1030335,757250,7247750,6.8992049e-05
1030336,760250,7247750,6.9172376e-05
1030337,551750,7246250,5.7302459e-05
1030353,583250,7246250,9.3236929e-05
1030354,584750,7246250,0.00010151031
1030355,586250,7246250,0.00010154065
1030396,581750,7244750,8.5444997e-05
1030397,583250,7244750,9.3376249e-05
1030398,584750,7244750,0.00010161817
1030414,626750,7244750,0.00010796239
1030415,743750,7244750,3.6988935e-05
1030416,745250,7244750,5.5345488e-05
1030444,575750,7243250,8.1737788e-05
1030445,581750,7243250,6.6743225e-05
1030446,584750,7243250,7.9594021e-05
1030452,596750,7243250,7.0904352e-05
1030463,626750,7243250,9.1642585e-05
1030494,574250,7241750,7.4586846e-05
1030495,586250,7241750,7.9162572e-05
1030502,596750,7241750,6.1045619e-05
1030512,623750,7241750,8.3711893e-05
1030541,571250,7240250,7.0817841e-05
1030543,578750,7240250,6.84224e-05
1030546,583250,7240250,6.8347683e-05
1030553,593750,7240250,9.3548158e-05
1030554,595250,7240250,9.7237949e-05
1030555,596750,7240250,8.1678802e-05
1030594,572750,7238750,7.2598697e-05
1030607,592250,7238750,9.7084019e-05
1030610,596750,7238750,0.00010291702
1030641,764750,7238750,4.6374764e-05
1030662,587750,7237250,8.8329187e-05
1030663,589250,7237250,8.9704998e-05
1030664,590750,7237250,8.9308938e-05
1030665,592250,7237250,8.9058383e-05
1030666,593750,7237250,9.459757e-05
1030686,731750,7237250,3.4780511e-05
1030687,733250,7237250,3.5051682e-05
1030688,734750,7237250,3.5398079e-05
1030689,736250,7237250,3.5712284e-05
1030690,743750,7237250,4.0740131e-05
1030706,767750,7237250,4.3832413e-05
1030711,563750,7235750,6.1185507e-05
1030725,590750,7235750,8.2519226e-05
1030726,592250,7235750,8.2780454e-05
1030748,731750,7235750,4.6494479e-05
1030752,737750,7235750,4.0300594e-05
1030773,557750,7234250,5.8539506e-05
1030775,568250,7234250,6.3815212e-05
1030776,569750,7234250,6.5233718e-05
1030777,572750,7234250,6.8276335e-05
1030784,583250,7234250,8.4355132e-05
1030787,587750,7234250,8.4037165e-05
1030788,589250,7234250,8.1734412e-05
1030804,613250,7234250,0.00014578109
1030805,614750,7234250,0.0001533309
1030806,616250,7234250,0.00015208429
1030813,733250,7234250,7.6658143e-05
1030843,566750,7232750,6.283434e-05
1030849,575750,7232750,7.4021693e-05
1030854,583250,7232750,8.1541162e-05
1030858,589250,7232750,7.9459191e-05
1030911,557750,7231250,5.646428e-05
1030926,581750,7231250,7.2930707e-05
1030927,583250,7231250,7.6418823e-05
1030951,620750,7231250,0.00010944213
1030955,721250,7231250,7.5964897e-05
1030956,722750,7231250,5.921477e-05
1030957,724250,7231250,4.9956638e-05
1030959,731750,7231250,6.1624261e-05
1030991,559250,7229750,5.6763711e-05
1031006,581750,7229750,6.9467314e-05
1031007,583250,7229750,7.4129552e-05
1031030,617750,7229750,0.00012340132
1031031,622250,7229750,9.2215603e-05
1031033,721250,7229750,8.8546039e-05
1031034,722750,7229750,8.3950086e-05
1031035,724250,7229750,7.7708675e-05
1031045,743750,7229750,4.2873224e-05
1031046,745250,7229750,3.1473741e-05
1031068,554750,7228250,5.4014115e-05
1031084,578750,7228250,7.0697621e-05
1031085,580250,7228250,6.9549336e-05
1031086,581750,7228250,6.9055524e-05
1031113,721250,7228250,9.1792586e-05
1031114,722750,7228250,8.4334351e-05
1031116,727250,7228250,6.6297733e-05
1031119,733250,7228250,8.2200691e-05
1031149,778250,7228250,5.894792e-05
1031150,779750,7228250,5.5207009e-05
1031169,580250,7226750,6.5845496e-05
1031199,721250,7226750,8.7441571e-05
1031200,722750,7226750,6.4604516e-05
1031201,724250,7226750,6.8957212e-05
1031208,734750,7226750,5.1406598e-05
1031209,736250,7226750,2.9948274e-05
1031238,779750,7226750,6.2919171e-05
1031239,781250,7226750,5.2886167e-05
1031258,578750,7225250,6.2311883e-05
1031259,580250,7225250,6.1095619e-05
1031289,719750,7225250,7.9586716e-05
1031290,722750,7225250,5.6116085e-05
1031291,724250,7225250,6.3286578e-05
1031298,734750,7225250,5.0277864e-05
1031299,736250,7225250,2.7004193e-05
1031300,737750,7225250,2.7008968e-05
1031328,779750,7225250,7.0265611e-05
1031329,781250,7225250,7.1399285e-05
1031380,721250,7223750,7.7308687e-05
1031381,724250,7223750,6.1132137e-05
1031384,728750,7223750,7.9792328e-05
1031389,736250,7223750,2.5658946e-05
1031390,737750,7223750,2.5822426e-05
1031391,739250,7223750,2.9222789e-05
1031418,779750,7223750,5.3695247e-05
1031419,781250,7223750,6.7620174e-05
1031420,782750,7223750,6.7939829e-05
1031470,719750,7222250,6.4764063e-05
1031471,722750,7222250,6.5754488e-05
1031472,724250,7222250,6.407476e-05
1031473,725750,7222250,6.4021384e-05
1031475,728750,7222250,8.1638915e-05
1031481,737750,7222250,2.9053523e-05
1031482,739250,7222250,2.5329013e-05
1031483,740750,7222250,2.5191879e-05
1031511,782750,7222250,6.1994469e-05
1031512,784250,7222250,6.3138825e-05
1031513,785750,7222250,6.4511827e-05
1031514,787250,7222250,6.6228633e-05
1031515,788750,7222250,6.7226923e-05
1031563,722750,7220750,8.2094521e-05
1031564,724250,7220750,6.7158384e-05
1031566,728750,7220750,8.2687198e-05
1031574,740750,7220750,2.5149859e-05
1031575,742250,7220750,5.2975323e-05
1031606,788750,7220750,6.7155575e-05
1031607,790250,7220750,5.5392004e-05
1031626,578750,7219250,5.596974e-05
1031655,721250,7219250,6.2945008e-05
1031656,722750,7219250,6.2161322e-05
1031658,728750,7219250,7.8702469e-05
1031668,743750,7219250,6.8339818e-05
1031699,790250,7219250,5.9978232e-05
1031700,791750,7219250,5.3065432e-05
1031748,628250,7217750,8.9175795e-05
1031749,637250,7217750,7.2164999e-05
1031750,638750,7217750,7.2931267e-05
1031751,721250,7217750,6.4293854e-05
1031752,727250,7217750,6.3961837e-05
1031753,728750,7217750,7.4825039e-05
1031754,730250,7217750,7.2553754e-05
1031841,623750,7216250,5.7430545e-05
1031846,640250,7216250,8.8871311e-05
1031847,641750,7216250,6.0838323e-05
1031849,728750,7216250,7.4712683e-05
1031850,730250,7216250,7.1808267e-05
1031851,731750,7216250,4.981181e-05
1031854,736250,7216250,3.53369e-05
