INODE,X,Y,ILAY,head_predev_m
782046,742250,7198250,19,269.1101
782047,743750,7198250,19,259.4291
782048,745250,7198250,19,252.6985
782049,746750,7198250,19,248.087
782050,748250,7198250,19,244.4214
782051,749750,7198250,19,241.6729
782052,751250,7198250,19,239.6641
782053,752750,7198250,19,238.1141
782054,754250,7198250,19,236.5862
782055,755750,7198250,19,235.2697
782056,757250,7198250,19,233.9874
782057,758750,7198250,19,232.6579
782058,760250,7198250,19,231.3835
782059,761750,7198250,19,230.1403
782060,763250,7198250,19,229.0108
782061,764750,7198250,19,227.9423
782062,766250,7198250,19,226.6079
782063,767750,7198250,19,225.0153
782064,769250,7198250,19,222.4796
782065,770750,7198250,19,221.2873
782066,773750,7198250,19,239.5753
782067,776750,7198250,19,228.5446
782068,778250,7198250,19,243.8424
782069,779750,7198250,19,245.1755
782070,551750,7196750,19,650.3378
782071,553250,7196750,19,643.1078
782072,554750,7196750,19,636.7958
782073,556250,7196750,19,637.7475
782074,562250,7196750,19,650.9508
782075,589250,7196750,19,656.2832
782076,590750,7196750,19,661.3059
782077,592250,7196750,19,666.1225
782078,593750,7196750,19,662.6945
782079,595250,7196750,19,620.4012
782080,596750,7196750,19,614.8314
782081,601250,7196750,19,599.5997
782082,602750,7196750,19,591.1097
782083,604250,7196750,19,565.5098
782084,605750,7196750,19,574.1792
782085,607250,7196750,19,556.6425
782086,611750,7196750,19,545.177
782087,613250,7196750,19,549.3694
782088,614750,7196750,19,546.3086
782089,616250,7196750,19,546.1146
782090,617750,7196750,19,525.0715
782091,619250,7196750,19,506.0087
782092,620750,7196750,19,520.5389
782093,622250,7196750,19,531.5495
782094,623750,7196750,19,516.3089
782095,625250,7196750,19,514.465
782096,626750,7196750,19,533.8268
782097,628250,7196750,19,546.3765
782098,737750,7196750,19,317.0285
782099,739250,7196750,19,288.0606
782100,740750,7196750,19,268.8611
782101,742250,7196750,19,256.7865
782102,743750,7196750,19,249.7636
782103,745250,7196750,19,245.1657
782104,746750,7196750,19,241.5639
782105,748250,7196750,19,238.8161
782106,749750,7196750,19,236.9083
782107,751250,7196750,19,235.5129
782108,752750,7196750,19,234.2655
782109,754250,7196750,19,233.1695
782110,755750,7196750,19,232.2711
782111,757250,7196750,19,231.2983
782112,758750,7196750,19,230.2926
782113,760250,7196750,19,229.2473
782114,761750,7196750,19,228.2466
782115,763250,7196750,19,227.365
782116,764750,7196750,19,226.4059
782117,766250,7196750,19,225.3352
782118,767750,7196750,19,223.9087
782119,769250,7196750,19,221.675
782120,770750,7196750,19,216.8486
782121,772250,7196750,19,218.1888
782122,776750,7196750,19,223.6851
782123,779750,7196750,19,242.7212
782124,551750,7195250,19,643.333
782125,553250,7195250,19,633.9207
782126,554750,7195250,19,607.7807
782127,557750,7195250,19,631.1234
782128,559250,7195250,19,645.6846
782129,560750,7195250,19,652.1156
782130,586250,7195250,19,650.9577
782131,587750,7195250,19,655.7344
782132,589250,7195250,19,661.6079
782133,590750,7195250,19,648.9301
782134,592250,7195250,19,640.9568
782135,593750,7195250,19,636.5121
782136,595250,7195250,19,638.6647
782137,596750,7195250,19,620.1185
782138,598250,7195250,19,604.2104
782139,599750,7195250,19,582.7768
782140,601250,7195250,19,565.9551
782141,602750,7195250,19,575.2818
782142,604250,7195250,19,559.9898
782143,605750,7195250,19,561.7698
782144,607250,7195250,19,552.8366
782145,610250,7195250,19,536.6531
782146,611750,7195250,19,519.6217
782147,613250,7195250,19,531.572
782148,614750,7195250,19,541.8532
782149,616250,7195250,19,531.6982
782150,617750,7195250,19,510.923
782151,619250,7195250,19,501.14
782152,620750,7195250,19,520.7126
782153,622250,7195250,19,524.3318
782154,623750,7195250,19,511.8569
782155,625250,7195250,19,511.8571
782156,626750,7195250,19,529.5219
782157,628250,7195250,19,529.19
782158,634250,7195250,19,594.9991
782159,731750,7195250,19,386.3631
782160,733250,7195250,19,368.0512
782161,737750,7195250,19,289.6109
782162,739250,7195250,19,271.0783
782163,740750,7195250,19,256.2104
782164,742250,7195250,19,248.6681
782165,743750,7195250,19,243.5823
782166,745250,7195250,19,240.2138
782167,746750,7195250,19,237.3386
782168,748250,7195250,19,235.2346
782169,749750,7195250,19,233.8037
782170,751250,7195250,19,232.6962
782171,752750,7195250,19,231.7468
782172,754250,7195250,19,230.9109
782173,755750,7195250,19,230.1239
782174,757250,7195250,19,229.3586
782175,758750,7195250,19,228.5488
782176,760250,7195250,19,227.7088
782177,761750,7195250,19,226.9178
782178,763250,7195250,19,226.1356
782179,764750,7195250,19,225.2846
782180,766250,7195250,19,224.2787
782181,767750,7195250,19,223.0652
782182,769250,7195250,19,221.6384
782183,770750,7195250,19,220.1548
782184,772250,7195250,19,219.7482
782185,773750,7195250,19,219.7679
782186,775250,7195250,19,219.9407
782187,778250,7195250,19,226.4234
782188,779750,7195250,19,230.6872
782189,782750,7195250,19,250.5331
782190,551750,7193750,19,626.6507
782191,553250,7193750,19,619.9521
782192,556250,7193750,19,611.3304
782193,557750,7193750,19,625.0364
782194,559250,7193750,19,637.2457
782195,560750,7193750,19,642.3539
782196,562250,7193750,19,633.1249
782197,589250,7193750,19,659.1688
782198,590750,7193750,19,641.7159
782199,593750,7193750,19,628.5335
782200,595250,7193750,19,622.1485
782201,596750,7193750,19,613.1206
782202,598250,7193750,19,605.6297
782203,599750,7193750,19,581.1203
782204,601250,7193750,19,558.1452
782205,602750,7193750,19,563.7986
782206,604250,7193750,19,561.3059
782207,605750,7193750,19,537.4697
782208,607250,7193750,19,550.6469
782209,610250,7193750,19,521.3224
782210,611750,7193750,19,514.1007
782211,613250,7193750,19,528.6826
782212,614750,7193750,19,531.604
782213,616250,7193750,19,505.8622
782214,617750,7193750,19,497.3022
782215,619250,7193750,19,500.3969
782216,620750,7193750,19,510.5547
782217,622250,7193750,19,522.2685
782218,623750,7193750,19,517.8692
782219,625250,7193750,19,507.3059
782220,626750,7193750,19,525.4221
782221,628250,7193750,19,515.585
782222,635750,7193750,19,575.9167
782223,637250,7193750,19,588.597
782224,739250,7193750,19,260.0213
782225,740750,7193750,19,249.7765
782226,742250,7193750,19,243.3291
782227,743750,7193750,19,239.672
782228,745250,7193750,19,236.856
782229,746750,7193750,19,234.459
782230,748250,7193750,19,232.806
782231,749750,7193750,19,231.6828
782232,751250,7193750,19,230.8086
782233,752750,7193750,19,230.0402
782234,754250,7193750,19,229.3314
782235,755750,7193750,19,228.6581
782236,757250,7193750,19,227.9937
782237,758750,7193750,19,227.3109
782238,760250,7193750,19,226.6243
782239,761750,7193750,19,225.9248
782240,763250,7193750,19,225.1774
782241,764750,7193750,19,224.3359
782242,766250,7193750,19,223.4102
782243,767750,7193750,19,222.3654
782244,769250,7193750,19,221.2974
782245,770750,7193750,19,220.2615
782246,772250,7193750,19,219.4453
782247,773750,7193750,19,218.5011
782248,775250,7193750,19,217.1419
782249,776750,7193750,19,217.2772
782250,551750,7192250,19,605.5005
782251,553250,7192250,19,584.9301
782252,556250,7192250,19,616.1947
782253,557750,7192250,19,605.7804
782254,559250,7192250,19,621.9799
782255,560750,7192250,19,630.256
782256,590750,7192250,19,644.3015
782257,595250,7192250,19,628.7382
782258,596750,7192250,19,607.0342
782259,598250,7192250,19,585.7079
782260,599750,7192250,19,557.3939
782261,601250,7192250,19,546.2991
782262,602750,7192250,19,534.322
782263,604250,7192250,19,538.1568
782264,605750,7192250,19,534.8386
782265,607250,7192250,19,531.4339
782266,608750,7192250,19,524.7764
782267,610250,7192250,19,503.1156
782268,611750,7192250,19,510.0898
782269,613250,7192250,19,512.8377
782270,614750,7192250,19,517.9213
782271,616250,7192250,19,496.3322
782272,617750,7192250,19,502.1545
782273,619250,7192250,19,504.2901
782274,620750,7192250,19,518.8831
782275,622250,7192250,19,520.098
782276,623750,7192250,19,507.1898
782277,625250,7192250,19,502.4788
782278,626750,7192250,19,516.1547
782279,628250,7192250,19,511.2215
782280,635750,7192250,19,566.4686
782281,637250,7192250,19,569.4498
782282,736250,7192250,19,292.6017
782283,737750,7192250,19,271.5414
782284,739250,7192250,19,252.3961
782285,740750,7192250,19,243.8571
782286,742250,7192250,19,239.1362
782287,743750,7192250,19,236.2693
782288,745250,7192250,19,233.8832
782289,746750,7192250,19,232.1466
782290,748250,7192250,19,231.0091
782291,749750,7192250,19,230.1739
782292,751250,7192250,19,229.4703
782293,752750,7192250,19,228.8195
782294,754250,7192250,19,228.2012
782295,755750,7192250,19,227.6072
