INODE,X,Y,RCH_SS_m_per_day
781864,740750,7204250,1.0544421e-05
781865,742250,7204250,1.0472431e-05
781866,743750,7204250,1.0268099e-05
781867,745250,7204250,9.9373174e-06
781868,746750,7204250,9.8771825e-06
781869,748250,7204250,9.8286137e-06
781870,749750,7204250,9.5394316e-06
781871,751250,7204250,9.4287871e-06
781872,752750,7204250,9.5175183e-06
781873,754250,7204250,9.2610971e-06
781874,755750,7204250,8.9653768e-06
781875,757250,7204250,9.071925e-06
781876,758750,7204250,8.9642272e-06
781877,760250,7204250,8.574747e-06
781878,761750,7204250,8.525245e-06
781879,763250,7204250,8.5690708e-06
781880,770750,7204250,8.3155246e-06
781881,775250,7204250,8.3538189e-06
781882,776750,7204250,8.3879459e-06
781883,779750,7204250,8.8151455e-06
841971,781250,7204250,9.1482261e-06
781884,590750,7202750,8.7397784e-06
781885,592250,7202750,8.78418e-06
781886,593750,7202750,8.6824448e-06
781887,602750,7202750,8.9707655e-06
781888,604250,7202750,9.0617232e-06
781889,605750,7202750,9.1404672e-06
781890,607250,7202750,8.5628208e-06
781891,608750,7202750,5.1189118e-06
781892,613250,7202750,1.0034814e-05
781893,614750,7202750,1.0411074e-05
781894,616250,7202750,1.0404752e-05
781895,617750,7202750,1.0366457e-05
781896,619250,7202750,1.0293533e-05
781897,620750,7202750,1.0344688e-05
781898,622250,7202750,1.0460505e-05
781899,623750,7202750,1.084007e-05
781900,736250,7202750,1.1163667e-05
781901,739250,7202750,1.0792508e-05
781902,740750,7202750,1.0314369e-05
781903,742250,7202750,1.0256317e-05
781904,743750,7202750,1.0079071e-05
781905,745250,7202750,9.7962111e-06
781906,746750,7202750,9.7826323e-06
781907,748250,7202750,9.76309e-06
781908,749750,7202750,9.5014248e-06
781909,751250,7202750,9.3823746e-06
781910,752750,7202750,9.4129809e-06
781911,754250,7202750,9.1801985e-06
781912,755750,7202750,8.9333334e-06
781913,757250,7202750,8.9986424e-06
781914,758750,7202750,8.8590441e-06
781915,760250,7202750,8.4722942e-06
781916,761750,7202750,8.4284675e-06
781917,763250,7202750,8.4613011e-06
781918,764750,7202750,8.2579754e-06
781919,766250,7202750,8.1672333e-06
781920,767750,7202750,8.2397264e-06
781921,772250,7202750,8.1409371e-06
781922,775250,7202750,8.2220522e-06
781923,776750,7202750,8.2410916e-06
781924,778250,7202750,8.2441811e-06
781925,779750,7202750,8.745239e-06
842014,781250,7202750,9.0941257e-06
781926,589250,7201250,8.7752705e-06
781927,590750,7201250,8.7800126e-06
781928,592250,7201250,8.7563749e-06
781929,593750,7201250,8.7229664e-06
781930,595250,7201250,7.8991015e-06
