ILAY,INODE,ICOL,IROW,X,Y,stage_m,cond_m2_per_day,rbot_m
19,781919,144,162,766250,7202750,235.67,5000.0,235.67
19,781920,145,162,767750,7202750,236.32,5000.0,236.32
19,781921,148,162,772250,7202750,255.32,5000.0,255.32
19,781922,150,162,775250,7202750,241.95,5000.0,241.95
19,781923,151,162,776750,7202750,252.3,5000.0,252.3
19,781924,152,162,778250,7202750,264.48,5000.0,264.48
19,781925,153,162,779750,7202750,275.7,5000.0,275.7
19,781926,26,163,589250,7201250,667.82,5000.0,667.82
19,781927,27,163,590750,7201250,677.66,5000.0,677.66
19,781928,28,163,592250,7201250,673.07,5000.0,673.07
19,781929,29,163,593750,7201250,650.46,5000.0,650.46
19,781930,30,163,595250,7201250,650.87,5000.0,650.87
19,781931,32,163,598250,7201250,627.47,5000.0,627.47
19,781932,33,163,599750,7201250,607.94,5000.0,607.94
19,781933,36,163,604250,7201250,565.27,5000.0,565.27
19,781934,40,163,610250,7201250,555.05,5000.0,555.05
19,781935,42,163,613250,7201250,583.77,5000.0,583.77
19,781936,43,163,614750,7201250,575.44,5000.0,575.44
19,781937,44,163,616250,7201250,551.42,5000.0,551.42
19,781938,45,163,617750,7201250,549.05,5000.0,549.05
19,781939,46,163,619250,7201250,526.53,5000.0,526.53
19,781940,47,163,620750,7201250,522.43,5000.0,522.43
19,781941,48,163,622250,7201250,541.47,5000.0,541.47
19,781942,49,163,623750,7201250,550.95,5000.0,550.95
19,781943,50,163,625250,7201250,537.73,5000.0,537.73
19,781944,124,163,736250,7201250,387.69,5000.0,387.69
19,781945,125,163,737750,7201250,344.42,5000.0,344.42
19,781946,126,163,739250,7201250,353.38,5000.0,353.38
19,781947,127,163,740750,7201250,336.3,5000.0,336.3
19,781948,128,163,742250,7201250,326.08,5000.0,326.08
19,781949,129,163,743750,7201250,314.43,5000.0,314.43
19,781950,130,163,745250,7201250,289.23,5000.0,289.23
19,781951,131,163,746750,7201250,282.43,5000.0,282.43
19,781952,132,163,748250,7201250,294.14,5000.0,294.14
19,781953,133,163,749750,7201250,281.15,5000.0,281.15
19,781954,134,163,751250,7201250,287.69,5000.0,287.69
19,781955,135,163,752750,7201250,299.33,5000.0,299.33
19,781956,136,163,754250,7201250,287.46,5000.0,287.46
